RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.3993428306022465,61,2,0.4010226913284922,4255,4,0,0,1,2
0.2723471397657631,49,2,0.3530825733249706,3154,5,1,1,1,3
0.4295377076201385,35,0,0.11692585158991714,6499,4,0,2,0,3
0.6046059712816051,65,2,0.31587093544692824,8295,2,1,2,0,1
0.2531693250553328,21,2,0.3314570966946461,8197,2,0,2,0,2
0.2531726086101639,45,1,0.23954454615567622,11888,6,1,0,1,3
0.6158425631014783,27,1,0.3677428576667982,3648,7,1,1,1,0
0.45348694583058174,29,0,0.4808101713629077,7539,4,1,1,1,0
0.20610512281300958,44,2,0.7772371802421061,11637,10,1,1,1,4
0.40851200871719295,21,2,0.4349155625663678,6199,6,1,2,0,2
0.20731646143750754,64,2,0.4515100781445529,10445,9,1,0,1,2
0.2068540492859486,28,0,0.38511081684676657,4557,2,0,2,1,4
0.3483924543132068,44,0,0.016245756940191702,7592,6,0,2,1,3
0.0,31,1,0.39469722491015663,2098,4,0,1,1,2
0.0,37,0,0.4120460419882053,4200,2,1,2,1,0
0.18754249415180546,28,2,0.8926484224970572,4961,5,1,1,0,0
0.09743377593311522,55,2,0.3615278070437755,6973,6,1,0,0,1
0.36284946651905475,55,0,0.4603094684667225,6433,8,1,1,1,2
0.11839518489575779,53,2,0.3930576460589514,4869,2,0,0,0,3
0.01753925973294168,25,2,0.1662643924760936,2956,4,0,1,1,4
0.5931297537843108,62,0,0.6285645629030041,10352,3,1,2,1,4
0.25484473990269285,59,0,0.5503866065373548,7699,10,0,2,0,3
0.31350564093758476,61,2,0.5582063894086094,8944,11,0,0,0,1
0.015050362757308644,48,2,0.21812250904105224,6493,7,1,0,1,4
0.19112345509496345,27,2,0.6805588621872198,11492,11,0,0,1,2
0.3221845179419732,29,1,0.11962978744154384,6911,4,1,1,1,1
0.06980128451553941,28,1,0.5173714187600541,5987,9,0,1,0,2
0.3751396036691344,32,1,0.8380911251619958,11719,9,1,0,1,0
0.179872262016239,54,0,0.20189273497386234,8015,3,1,2,1,1
0.24166125004134464,53,1,0.28674045407944565,3218,7,1,1,1,4
0.1796586775541206,68,0,0.4199302730175283,6496,8,1,1,0,1
0.6704556369017876,43,0,0.2993048691767602,6735,3,0,1,1,1
0.2973005550524132,44,1,0.08986731378677348,6555,11,1,0,1,1
0.0884578142088199,57,1,0.4137125949612055,11146,3,1,0,0,1
0.4645089824206378,55,1,0.18753925725477905,10050,11,1,0,1,2
0.05583127000579552,64,2,0.49471848612703634,5446,2,0,0,1,0
0.3417727190009511,60,1,0.21611515315323937,3045,9,1,0,0,3
0.0,42,2,0.7099868810035079,8893,2,0,2,1,1
0.034362790220313855,47,0,0.2433493415327526,3693,10,1,2,0,4
0.3393722471738247,55,2,0.3355876967588649,5436,7,0,0,0,1
0.4476933159990821,21,1,0.562703443473934,10754,8,0,1,1,4
0.3342736562379941,55,0,0.15382713671320897,7895,11,1,0,1,2
0.2768703435223519,57,0,0.4454919869208259,5354,8,0,2,1,4
0.23977926088214224,67,0,0.6614285508564857,2225,11,1,2,1,3
0.004295601926514514,34,2,0.07850335308775447,6893,4,1,1,0,0
0.15603115832105827,23,1,0.4369267717064609,9022,3,1,2,1,4
0.20787224580804248,21,0,0.45197655884968474,11151,10,0,0,0,4
0.5114244452437832,25,0,0.5563645743554622,7600,9,0,1,1,0
0.36872365791369227,46,0,0.15260985782438363,9996,11,1,0,1,3
0.0,34,2,0.13590867738314477,11007,8,1,0,1,1
