Id,PredictedDefault,DefaultProbability,PredictedCreditScore
0,0,0.06,752.4649082703334
1,0,0.01,777.349696518501
2,0,0.0,811.1832465079999
3,0,0.01,756.9997108971671
4,0,0.12,748.9836484829982
5,0,0.04,781.9773024495015
6,0,0.05,300.0
7,0,0.11,807.1650562496671
8,0,0.13,300.0
9,0,0.336,300.0
10,0,0.01,831.0987426605005
11,0,0.0,796.2360506038333
12,0,0.02,848.5444494128332
13,0,0.07,793.0199704528327
14,0,0.01,759.4884201248341
15,0,0.02,836.8393180718327
16,0,0.0,772.7672388593321
17,0,0.02,831.5444467841675
18,0,0.38,750.773678276001
19,0,0.23,300.0
20,0,0.0,831.4827314280012
21,0,0.02,816.3641236225005
22,0,0.0,829.8494409539992
23,1,0.58,626.3793224059996
24,0,0.07,771.324492121834
25,0,0.13,300.0
26,0,0.09,750.0000093649953
27,0,0.08,300.0
28,0,0.03,760.4116673073353
29,0,0.17,300.0
30,0,0.03,772.4378317873335
31,0,0.15,300.0
32,0,0.0,839.3848342403339
33,0,0.05,761.5928041390007
34,0,0.48,655.8000037495004
35,0,0.12,776.923004509668
36,0,0.03,797.1987818598338
37,0,0.16,300.0
38,0,0.0,830.567486455165
39,0,0.05,810.0830439196678
40,0,0.34,738.7318303066679
41,0,0.3,706.0527975711676
42,0,0.08,743.5149424216675
43,0,0.0,830.0627724491654
44,0,0.02,671.0475891023317
45,0,0.0,599.2254874208335
46,0,0.0,499.9023564141655
47,0,0.03,804.898911442999
48,0,0.02,838.5861770033337
49,0,0.01,776.7012776933335
50,0,0.1,836.3223843964994
51,0,0.04,830.5295694948329
52,0,0.01,835.4707276501678
53,0,0.0,735.0217196898305
54,0,0.04,821.3939761538314
55,0,0.05,756.8096835489359
56,0,0.0,836.9481212383342
57,0,0.21,765.6399114829999
58,0,0.07,754.963188887166
59,0,0.05,758.7785953629998
60,0,0.01,808.3241583560019
61,0,0.01,831.1737255358339
62,0,0.01,827.9159307516662
63,0,0.01,814.227809890334
64,0,0.05,810.9249048953315
65,0,0.03,797.190250423831
66,0,0.03,824.1514520686671
67,0,0.21844444444444444,749.8804438778338
68,0,0.0,830.2731432200001
69,1,0.68,300.0
70,0,0.11,300.0
71,0,0.04,743.1014350198333
72,0,0.0,821.0907027793335
73,0,0.19,713.7570073264977
74,0,0.02,826.0778483526655
75,0,0.08,762.4329979301691
76,0,0.14,753.0997246933308
77,0,0.01,790.6823581933336
78,0,0.11,300.0
79,0,0.01,824.3608635076646
80,0,0.09,300.0
81,0,0.0,818.3041608650016
82,0,0.1,832.0563208929966
83,0,0.0,837.496016912334
84,0,0.0,811.3390777131671
85,0,0.0,825.9270677828354
86,0,0.02,774.4750661609997
87,0,0.08,300.0
88,0,0.01,813.9021209496689
89,0,0.0,802.3786184395009
90,0,0.1,802.0385722103327
91,0,0.01,824.5009317896659
92,0,0.03,831.5998482786662
93,0,0.12,810.8072145291667
94,0,0.0,845.7280459718356
95,0,0.13,678.3481979254988
96,0,0.06,786.3211448721678
97,0,0.08,751.6466853448328
98,0,0.0,848.3521930050005
99,0,0.03,842.6359360345007
100,0,0.04,758.9647739331685
101,0,0.06,743.583195963167
102,0,0.09,300.0
103,0,0.04,751.8422909031669
104,0,0.18,300.0
105,0,0.0,830.9535316779989
106,0,0.32,696.4029776600005
107,0,0.01,811.2480739233347
108,0,0.0,840.458375458999
109,0,0.04,818.5045054208327
110,0,0.11,300.0
111,0,0.2,300.0
112,0,0.03,806.4357469981661
113,1,0.61,300.0
114,0,0.15,747.0634298366663
115,0,0.01,833.808376278
116,0,0.11,300.0
117,0,0.08,739.9716766986658
118,0,0.03,835.495124026665
119,0,0.01,838.7912355688354
120,0,0.01,810.9418775976682
121,0,0.06,791.9682782749994
122,0,0.0,826.574304017335
123,0,0.45,300.0
124,0,0.11,300.0
125,0,0.0,821.0314451264992
126,0,0.0,848.9254648801664
127,0,0.02,826.1485334233325
128,0,0.1,300.0
129,0,0.05,789.0265846716669
130,0,0.02,809.0823308476661
131,0,0.05,744.1674364830022
132,0,0.01,839.6430103746669
133,0,0.41,800.6575670746663
134,0,0.33,758.3590069939995
135,0,0.01,827.1734502448318
136,0,0.24,715.3933453436671
137,0,0.03,804.6377917693309
138,0,0.0,847.2429961933302
139,0,0.01,838.617036589669
140,0,0.0,845.6941742053317
141,0,0.0,823.1811881356649
142,0,0.08,300.0
143,0,0.0,842.9370857594167
144,0,0.33,704.8535821458322
145,0,0.0,842.5743455819998
146,0,0.0,845.3040217228339
147,0,0.16,779.4584434364988
148,0,0.0,849.5804360225012
149,0,0.05,771.0548350833341
150,0,0.0,848.1359113648334
151,0,0.0,844.3587466133348
152,0,0.1,300.0
153,0,0.08,300.0
154,0,0.01,816.6078653573328
155,0,0.03,819.6713959778343
156,0,0.04,784.0966166729994
157,0,0.12,300.0
158,0,0.09,300.0
159,0,0.01,818.2181913804995
160,0,0.01,837.0237055378357
161,0,0.05,810.1443222101676
162,0,0.07,300.0
163,0,0.07,788.662200147666
164,0,0.01,848.0602295048318
165,0,0.08,300.0
166,1,0.59,300.0
167,0,0.17,300.0
168,0,0.13,680.0706885301685
169,0,0.0,834.220035722834
170,0,0.0,848.9215925838332
171,0,0.03,799.2214471629992
172,0,0.0,824.4858854286648
173,0,0.05,766.8168248533325
174,0,0.0,809.0106194930017
175,0,0.47,300.0
176,0,0.06,813.8043907931667
177,0,0.08,765.5324686906662
178,0,0.02,828.6834067451679
179,0,0.06,828.3692391515003
180,0,0.13,812.8127448976646
181,0,0.0,838.25894835
182,0,0.0,822.5927262064998
183,0,0.0,814.6180994834992
184,0,0.16,718.9856311766657
185,0,0.04,300.0
186,0,0.0,843.453318394668
187,0,0.01,806.5823822923319
188,0,0.08,747.9157214579963
189,0,0.07,802.0715695884986
190,0,0.04,842.9746374336249
191,0,0.03,789.4154947878321
192,0,0.0,821.1986123203318
193,0,0.13,730.5378686303326
194,0,0.0,850.0
195,0,0.02,788.940866384834
196,0,0.09,300.0
197,0,0.01,835.9008591058333
198,0,0.09,300.0
199,0,0.01,845.0384389526672
200,0,0.07,728.0725650310011
201,0,0.01,800.7585398588328
202,0,0.44,668.3029882846665
203,0,0.05,745.4952149939999
204,0,0.12,300.0
205,0,0.07,300.0
206,0,0.13,300.0
207,0,0.07,300.0
208,0,0.05,751.7317613675011
209,0,0.1,300.0
210,0,0.12,750.0000093649953
211,0,0.0,794.2338434588348
212,0,0.05,831.8852159666684
213,0,0.0,835.1981986825002
214,0,0.11,300.0
215,0,0.02,742.8060220518332
216,0,0.0,838.0487357301671
217,0,0.12,756.5394983636677
218,0,0.01,814.7953808004999
219,0,0.0,845.8388235711661
220,0,0.01,829.4377378238335
221,0,0.01,833.8700761140013
222,0,0.01,829.0071500284986
223,0,0.11,300.0
224,0,0.0,836.4485662358318
225,0,0.05,764.0535299000004
226,0,0.02,832.3308693939489
227,0,0.08,747.055735389168
228,0,0.2,568.8391714016675
229,0,0.46,679.6144144328333
230,0,0.33,706.9040855520017
231,0,0.02,818.1118012099996
232,0,0.0,815.1552647323338
233,0,0.0,822.6316704721671
234,0,0.07,300.0
235,0,0.25,300.0
236,0,0.18,300.0
237,0,0.01,300.0
238,0,0.02333333333333333,850.0
239,0,0.01,811.9589266525005
240,0,0.02,742.8828956130002
241,0,0.02,835.9524838904998
242,0,0.0,840.2184637543338
243,0,0.0,787.9066687451663
244,0,0.04,746.2225701948347
245,0,0.0,821.903213722
246,0,0.0,797.9561319480007
247,0,0.1,300.0
248,0,0.1,300.0
249,0,0.34,722.9563443496673
250,0,0.01,750.0000093649953
251,0,0.36,761.5096089229982
252,0,0.17,300.0
253,0,0.23,759.7083165496674
254,0,0.01,849.8560909192125
255,0,0.1,300.0
256,0,0.06,783.0454559165009
257,0,0.27,730.000009999997
258,0,0.0,808.5595035602489
259,0,0.23,763.6224572784985
260,0,0.0,840.7347353328344
261,0,0.02,806.5945636611673
262,0,0.0,849.475607462499
263,0,0.05,795.542643897834
264,0,0.05,746.8412525196666
265,0,0.0,819.2888822521647
266,0,0.12,777.1369914370001
267,0,0.06,777.5072220981692
268,0,0.26,749.8982668183322
269,0,0.0,827.963115088331
270,0,0.01,769.2486588373359
271,0,0.07,799.0432838799992
272,0,0.12,300.0
273,0,0.01,840.8001506661665
274,0,0.01,828.7907573378321
275,0,0.02,806.4365863031669
276,0,0.06,300.0
277,0,0.0,833.0790543278324
278,0,0.04,730.4269815879999
279,0,0.02,810.2953898095001
280,1,0.54,630.1964621974996
281,0,0.04,788.3158527891676
282,0,0.1,773.5621846106679
283,0,0.06,300.0
284,0,0.0,842.8325144904999
285,0,0.1,300.0
286,0,0.01,835.4416193169998
287,0,0.04,800.8921264473342
288,0,0.09,733.6606909933317
289,0,0.03,755.7819739845007
290,0,0.38,717.7419796299996
291,0,0.0,839.2773620711665
292,0,0.0,806.6340175755005
293,0,0.01,831.4390455961675
294,0,0.0,849.2038548145006
295,0,0.02,819.6277195158334
296,0,0.0,845.7512280218343
297,0,0.03,783.6928957675017
298,0,0.09,300.0
299,0,0.01,833.8899558188315
300,0,0.13,781.5130749481671
301,0,0.0,835.2873400091678
302,0,0.0,812.7724806444991
303,0,0.05,838.3946091739998
304,0,0.4,669.2715675044997
305,0,0.02,796.8613246478329
306,0,0.01,300.0
307,0,0.3867882101558572,300.0
308,0,0.16,692.796462908666
309,0,0.0,830.1099886603337
310,1,0.72,687.6920885623333
311,0,0.0,842.8970920715007
312,0,0.33,684.1058375076667
313,0,0.07,783.4857699328306
314,0,0.02,791.9361353868354
315,0,0.11,716.3605802358343
316,0,0.36,709.8689692094995
317,0,0.0,825.6571006566647
318,0,0.07,300.0
319,0,0.07,726.3091677594997
320,0,0.15,300.0
321,0,0.01,817.1862278328326
322,0,0.0,827.5725013660008
323,0,0.01,837.3178409286656
324,0,0.13,300.0
325,0,0.01,823.7690088098329
326,0,0.0,825.2249081491647
327,0,0.02,819.6950330395016
328,0,0.06,822.3744741055018
329,0,0.0,499.8292639223324
330,0,0.04,833.9137873953313
331,0,0.02,825.8382699419979
332,0,0.02,832.6941905290023
333,0,0.07,779.8889176061662
334,0,0.0,797.8091000380016
335,0,0.02,768.413576865001
336,0,0.0,838.6798674178325
337,0,0.41,724.9997047031637
338,0,0.12,300.0
339,0,0.0,846.3196763621685
340,0,0.0,837.3097326153336
341,0,0.03,833.9870930500001
342,0,0.03,815.1292455626673
343,0,0.07,794.722045379666
344,0,0.11,300.0
345,0,0.03,809.5764938435013
346,0,0.46,300.0
347,0,0.19,816.2880412743326
348,0,0.03,814.1453437571673
349,0,0.11,300.0
350,0,0.08,787.2722587510002
351,0,0.01,807.2002373743346
352,0,0.0,843.2600402558347
353,0,0.12,710.3358265700011
354,0,0.02,847.6491073225019
355,0,0.0,847.8424530066661
356,1,0.71,300.0
357,0,0.0,846.2029538908338
358,0,0.03,300.0
359,0,0.38,724.2205604601685
360,0,0.1,300.0
361,0,0.0,828.6538626436666
362,0,0.0,841.6485787871674
363,0,0.01,823.2928868840006
364,0,0.31,729.9972209786637
365,0,0.01,766.5094808004978
366,0,0.01,300.0
367,0,0.09,741.9402914949998
368,0,0.01,797.9970062578344
369,0,0.48,687.7585901181666
370,0,0.0,850.0
371,0,0.07,763.335234865167
372,0,0.02,844.8265751921676
373,0,0.0,825.2147411711674
374,0,0.03,838.5063876538345
375,0,0.01,844.4506216293329
376,0,0.02,825.5007364235
377,0,0.01,842.0713824101658
378,0,0.04,831.5651031193346
379,0,0.02,817.531193496667
380,0,0.01,837.3631851485009
381,0,0.02,809.4345009829998
382,0,0.08,756.4451884606661
383,0,0.15,300.0
384,0,0.05,834.623697807497
385,0,0.0,841.783803992166
386,0,0.0,838.2872592928335
387,0,0.03,841.5709644791681
388,0,0.01,790.8316021476669
389,0,0.01,827.0180717820007
390,0,0.0,842.2215160389997
391,0,0.02,837.827984512334
392,0,0.02,802.2359523594985
393,0,0.11,728.2267713943347
394,0,0.0,815.7168686973332
395,0,0.0,838.061989278501
396,0,0.04,714.4999133036667
397,0,0.19,697.5856342348325
398,0,0.0,668.5250997304983
399,0,0.02,795.4486230255004
400,0,0.0,830.5094523656675
401,0,0.0,845.9382081105
402,0,0.02,824.8238684073353
403,0,0.13,300.0
404,1,0.71,456.98622622999966
405,1,0.72,588.4245932173333
406,0,0.01,814.6184926865003
407,0,0.04,802.3259497098344
408,0,0.01,817.1482742441659
409,0,0.01,807.7810059325014
410,0,0.0,797.9752762865004
411,0,0.0,667.9669260280007
412,0,0.03,742.0695688071669
413,0,0.0,836.0947936286672
414,0,0.0,835.808084685664
415,0,0.16,776.1604018806652
416,0,0.12,300.0
417,0,0.08,300.0
418,0,0.01,836.6373875558334
419,0,0.0,842.2507526261636
420,0,0.03,829.9109985918336
421,0,0.07,300.0
422,0,0.05,799.1032540079995
423,0,0.0,850.0
424,0,0.0,847.4982415948336
425,0,0.0,840.0221855803337
426,0,0.08,300.0
427,0,0.0,813.6827998043323
428,0,0.08,749.0209723390014
429,0,0.01,842.611182141165
430,0,0.22,699.0839737568344
431,0,0.12,300.0
432,0,0.01,831.2956069395002
433,0,0.1,300.0
434,0,0.02,818.0570176606656
435,0,0.03,797.0286343554991
436,0,0.02,770.162330356336
437,0,0.02,743.3378438925008
438,0,0.0,841.5249346076656
439,0,0.05,818.1828815878323
440,0,0.09,300.0
441,0,0.01,792.7859313223316
442,0,0.05,781.7478655745028
443,0,0.0,844.4520601491654
444,0,0.03,797.8488042524993
445,0,0.1,700.9449535023351
446,0,0.03,849.1671416816672
447,0,0.12,750.0000093649953
448,0,0.01,773.8785676828321
449,0,0.0,839.4813706888328
450,0,0.04,796.9518523848324
451,0,0.1,300.0
452,0,0.08,759.0146969040007
453,0,0.11,300.0
454,0,0.19,300.0
455,0,0.02,819.4532739283339
456,0,0.06,300.0
457,0,0.1,300.0
458,0,0.03,724.5167190820003
459,0,0.01,765.3316841178346
460,0,0.03,822.7391518975008
461,0,0.06,761.6046755334995
462,0,0.0,822.4707221274997
463,0,0.04,753.1187433458346
464,0,0.04,784.9572355224991
465,0,0.0,841.0593419810008
466,0,0.0,828.6193006131682
467,0,0.03,824.1241164491672
468,0,0.01,829.7874819376657
469,0,0.11,710.8716209059985
470,0,0.0,749.7235578203356
471,0,0.0,831.796804620999
472,0,0.39,657.5799654418333
473,0,0.18,300.0
474,0,0.11,300.0
475,0,0.0,831.1768380805003
476,0,0.15,300.0
477,0,0.0,814.5708938379989
478,0,0.02,808.4845873418359
479,0,0.0,821.7895910556665
480,0,0.09,718.4401912190007
481,0,0.0,850.0
482,0,0.04,736.7645575968328
483,0,0.19,300.0
484,0,0.0,450.07338257949937
485,0,0.37,709.6264331795013
486,0,0.05,555.2128014098329
487,0,0.03,757.1520355178325
488,0,0.21,300.0
489,0,0.12,650.8064812601654
490,0,0.01,840.3142603061689
491,0,0.02,808.9415866156662
492,0,0.41,697.5929164048331
493,0,0.14,300.0
494,0,0.34,300.0
495,0,0.02,847.8928930366654
496,0,0.06,300.0
497,0,0.0,846.2554913723351
498,0,0.05,768.1326815243349
499,0,0.16,300.0
500,0,0.03,820.9785015926667
501,0,0.01,826.7586271996679
502,0,0.01,793.9636438258335
503,0,0.0,833.5757641474987
504,0,0.01,837.8121978199985
505,0,0.19,751.0555418979986
506,0,0.07,300.0
507,0,0.0,847.4050709533332
508,0,0.0,832.5819222014991
509,0,0.03,821.8751552880008
510,0,0.01,837.1541234360034
511,0,0.25,695.748612035334
512,0,0.04,769.9001689901677
513,0,0.04,792.7480760176642
514,0,0.01,810.609708192834
515,0,0.33,726.2608637171655
516,0,0.0,831.7133792516681
517,0,0.0,815.2805641976656
